date,price,earnings,trailing_pe,cape
1933.1,9.55,0.435,21.95402298850575,11.696253568143696
1933.11,9.78,0.4375,22.354285714285712,12.01176619338994
1933.12,9.97,0.44,22.65909090909091,12.281801622601119
1934.01,10.54,0.4442,23.728050427735255,13.02511982833238
1934.02,11.32,0.4483,25.25094802587553,13.926922904274301
1934.03,10.74,0.4525,23.734806629834253,13.25453762974009
1934.04,10.92,0.4567,23.910663455222245,13.518389284490098
1934.05,9.81,0.4608,21.2890625,12.181583235024027
1934.06,9.94,0.465,21.376344086021504,12.287726483952428
1934.07,9.47,0.4692,20.183290707587386,11.741524229318248
1934.08,9.1,0.4733,19.226706106063805,11.315025981829052
1934.09,8.88,0.4775,18.59685863874346,10.909954083288849
1934.1,8.95,0.4817,18.58002906373261,11.108352605351731
1934.11,9.2,0.4858,18.937834499794153,11.448808690205704
1934.12,9.26,0.49,18.897959183673468,11.639337566475886
1935.01,9.26,0.57,16.24561403508772,11.495907968201596
1935.02,8.98,0.65,13.815384615384616,11.087812159055565
1935.03,8.41,0.73,11.52054794520548,10.398272404790031
1935.04,9.04,0.756667,11.947131300823214,11.104210207149524
1935.05,9.75,0.783333,12.446813807154813,11.985576683480101
1935.06,10.12,0.81,12.493827160493826,12.539519324443896
1935.07,10.65,0.793333,13.424375388393022,13.202137936511015
1935.08,11.37,0.776667,14.639478695502705,14.105056846668958
1935.09,11.61,0.76,15.276315789473683,14.418891702707441
1935.1,11.92,0.76,15.68421052631579,14.826232627114097
1935.11,13.04,0.76,17.157894736842103,16.12960516325115
1935.12,13.04,0.76,17.157894736842103,16.159192714615337
1936.01,13.76,0.77,17.87012987012987,17.087359845997245
1936.02,14.55,0.78,18.653846153846153,18.104536459517796
1936.03,14.86,0.79,18.81012658227848,18.66047820392603
1936.04,14.88,0.82,18.146341463414636,18.7189996651515
1936.05,14.09,0.85,16.576470588235296,17.750192519328646
1936.06,14.69,0.88,16.693181818181817,18.39300106583135
1936.07,15.56,0.9,17.288888888888888,19.360464512319144
1936.08,15.87,0.92,17.25,19.623060162983762
1936.09,16.05,0.94,17.074468085106385,19.86202424328763
1936.1,16.89,0.966667,17.472407768135252,20.913091852533125
1936.11,17.36,0.993333,17.476515931716754,21.49976534102416
1936.12,17.06,1.02,16.72549019607843,21.125663548155444
1937.01,17.59,1.05,16.752380952380953,21.61874158295351
1937.02,18.11,1.08,16.768518518518515,22.244221552805165
1937.03,18.09,1.11,16.297297297297295,22.042197016050576
1937.04,17.01,1.13,15.053097345132747,20.556579457432864
1937.05,16.25,1.15,14.130434782608697,19.47417468657211
