Jahr;Damodaran_Branche;Trailing_KGV;Forward_KGV
2015;Insurance (Prop/Cas.);17.67724120122075;15.624862359661511
2015;Investments & Asset Management;19.04705886352148;14.979689999989295
2015;Machinery;161.09430108553883;25.617628509566277
2015;Metals & Mining;25.79887828636039;24.761510792976104
2015;Office Equipment & Services;19.677453953429676;16.815318073860563
2015;Oil/Gas (Integrated);9.467885512103408;26.68515336521599
2015;Oil/Gas (Production and Exploration);29.392722333475803;39.19309791581385
2015;Oil/Gas Distribution;113.53082791376823;35.17137956471586
2015;Oilfield Svcs/Equip.;18.396571965966135;24.05313891200699
2015;Packaging & Container;26.991075092520035;18.153713867619828
2015;Paper/Forest Products;36.87055306723027;24.569072394039225
2015;Power;22.02536554186723;18.238491660570254
2015;Precious Metals;17.86984041284156;21.25710133733016
2015;Publishing & Newspapers;53.609538013423666;23.999807305957408
2015;R.E.I.T.;43.45186928231626;59.97494305919582
2015;Real Estate (Development);147.1763481396479;36.619491360900795
2015;Real Estate (General/Diversified);70.45318989940046;61.95562866642297
2015;Real Estate (Operations & Services);48.959980183839974;23.452460289012485
2015;Recreation;32.939294646722026;21.33677880619928
2015;Reinsurance;13.28229756232104;13.479105719761929
2015;Restaurant/Dining;40.52575198573701;47.932515986653605
2015;Retail (Automotive);19.443571462972177;19.28583432002477
2015;Retail (Building Supply);29.90174397589093;23.646112561703568
2015;Retail (Distributors);29.237454368053292;19.91583461027675
2015;Retail (General);27.651478137756804;22.9568294695992
2015;Retail (Grocery and Food);31.827402782747395;33.07485903529464
2015;Retail (Online);59.45705007583868;261.704934600892
2015;Retail (Special Lines);35.58762296037234;20.67288571080692
2015;Rubber& Tires;13.700248152661096;10.922977346278318
2015;Semiconductor;92.99813662335087;23.790124274708905
2015;Semiconductor Equip;48.989048445636506;46.72099507634436
2015;Shipbuilding & Marine;13.39390006695256;27.404064695826836
2015;Shoe;21.87859059783223;19.447773453992575
2015;Software (Entertainment);48.14054249250127;56.474702193251346
2015;Software (Internet);157.2077479636363;146.4792753042158
2015;Software (System & Application);85.7313770908818;74.45258881700053
2015;Steel;52.013633681027954;35.50975363783207
2015;Telecom (Wireless);66.01611288449217;24.36467574885729
2015;Telecom. Equipment;77.3675902084319;31.527256985378276
2015;Telecom. Services;32.004401705776345;99.32844276734642
2015;Tobacco;19.91578510094489;28.33294025080201
2015;Transportation;25.1071037607927;27.20122316372732
2015;Transportation (Railroads);25.80585386098045;18.650258414854516
2015;Trucking;27.838889472326866;23.777712422635087
2015;Unclassified;18.868512426900583;
2015;Utility (General);20.118933296020487;18.85265897054972
2015;Utility (Water);19.805358602049076;39.553213778503995
2015;Total Market;60.49147814738052;35.251905938629854
2016;Advertising;110.60536744471388;20.556237039253705
2016;Aerospace/Defense;31.254281922655817;35.63725336188379
2016;Air Transport;12.011711164920712;11.78707158871658
2016;Apparel;18.418072713863307;19.545270883183143
2016;Auto & Truck;12.186723368247414;46.52927696214038
2016;Auto Parts;254.73693131655708;15.435456875283055
2016;Bank (Money Center);13.433615754573914;11.85965540507163
2016;Banks (Regional);18.154892666628836;15.809975993898597
2016;Beverage (Alcoholic);38.20156049113593;27.474578822328787
2016;Beverage (Soft);39.01998627734911;29.88721854527002
2016;Broadcasting;24.16357566730734;17.47511497754794
2016;Brokerage & Investment Banking;43.7817063538021;16.58280798281562
2016;Building Materials;28.88049327885445;19.018773219813937
2016;Business & Consumer Services;25.69647708843414;30.72951373875442
2016;Cable TV;29.37145286837885;26.735472640246584
2016;Chemical (Basic);13.086852671356192;19.43764661434288
2016;Chemical (Diversified);25.399974864631172;12.02657563995142
2016;Chemical (Specialty);48.33414668320232;17.64479276286613
2016;Coal & Related Energy;6.844203972540778;20.75592634694462
2016;Computer Services;31.904670452385208;15.637655286854317
2016;Computers/Peripherals;32.92846369915071;46.89003948540409
2016;Construction Supplies;35.85286220552225;14.29024800767188
2016;Diversified;24.794311771973213;27.31403277366688
2016;Drugs (Biotechnology);79.13959960484264;63.39098747933613
2016;Drugs (Pharmaceutical);41.82454499500409;27.893058649131245
2016;Education;22.741552422584416;20.463205319287148
2016;Electrical Equipment;25.86576321345469;17.851198495344544
2016;Electronics (Consumer & Office);20.811468484224783;13.342954192425408
2016;Electronics (General);42.26866624684032;21.073826525029965
2016;Engineering/Construction;21.99344734317481;16.174979679953847
2016;Entertainment;372.5698233930005;67.91385673943019
2016;Environmental & Waste Services;56.01613251260913;20.5079736795018
2016;Farming/Agriculture;19.288641747955;40.32157678696466
2016;Financial Svcs. (Non-bank & Insurance);66.90136378756242;18.003869317220573
2016;Food Processing;64.35977294125259;23.08291579226484
2016;Food Wholesalers;24.43470686328084;17.42912756406695
2016;Furn/Home Furnishings;20.102042670393477;16.941078064255823
2016;Green & Renewable Energy;90.27565333319028;43.14689640391104
2016;Healthcare Products;72.59675208035002;32.59623666496741
2016;Healthcare Support Services;40.297268685069305;25.824015984047165
2016;Heathcare Information and Technology;65.64293740398917;33.68993577112581
2016;Homebuilding;15.59057911742809;14.306762222374124
2016;Hospitals/Healthcare Facilities;38.97936600011673;21.92016992845479
2016;Hotel/Gaming;185.88915781089352;19.14675687289687
2016;Household Products;30.36998905679881;19.66586946086709
2016;Information Services;26.220660419135296;17.63885204250889
2016;Insurance (General);24.848856884912248;15.575536388861185
2016;Insurance (Life);13.983875294753688;11.612645156810853
2016;Insurance (Prop/Cas.);21.597819827167815;15.101346520897184
2016;Investments & Asset Management;24.483261738300097;12.502133911938037
2016;Machinery;28.012638150982465;22.42554264533617
